population,x,y
5.000000000000000,-89.7509221334,29.8400706517
2.000000000000000,-89.7220085104,29.8544109389
7.000000000000000,-89.6932873615,29.8386810887
23.000000000000000,-89.6884375823,29.8460791313
7.000000000000000,-89.6980413508,29.8463130790
6.000000000000000,-89.7364652711,29.8472421227
7.000000000000000,-89.7460734607,29.8474726958
1.000000000000000,-89.7316160014,29.8546428543
3.000000000000000,-89.7268579649,29.8470108742
1.000000000000000,-89.7606182430,29.8252646275
10.000000000000000,-89.7796667039,29.8557922966
51.000000000000000,-89.7940447793,29.8636520930
15.000000000000000,-89.7748179505,29.8631957161
18.000000000000000,-89.7844309241,29.8634242429
11.000000000000000,-89.7605310204,29.8402998827
1.000000000000000,-89.7556825333,29.8477025935
1.000000000000000,-89.7700547984,29.8555637601
4.000000000000000,-89.7652924885,29.8479318155
45.000000000000000,-89.8036595156,29.8638792663
1.000000000000000,-89.7988931592,29.8562473404
54.000000000000000,-89.8132751326,29.8641057625
18.000000000000000,-89.7849353181,29.7731993415
6.000000000000000,-89.7752446036,29.7880130484
14.000000000000000,-89.7800901668,29.7806065164
1.000000000000000,-89.7607054427,29.8102287841
8.000000000000000,-89.7655522416,29.8028241826
1.000000000000000,-89.6893063527,29.7107879344
1.000000000000000,-89.5456400434,29.6922621108
1.000000000000000,-89.5360629618,29.6920240545
1.000000000000000,-89.6176550715,29.6714797408
1.000000000000000,-89.8767710531,29.6624419974
1.000000000000000,-89.8861641598,29.7078033116
1.000000000000000,-89.9053848348,29.7082303850
12.000000000000000,-89.9822442497,29.7249665948
6.000000000000000,-89.9774640541,29.7173352175
45.000000000000000,-90.0111065010,29.7255878489
71.000000000000000,-90.0110520529,29.7406441754
194.000000000000000,-90.0062680455,29.7330128032
169.000000000000000,-90.0206758002,29.7408505534
143.000000000000000,-90.0158907293,29.7332191958
108.000000000000000,-89.9919210777,29.7101187540
11.000000000000000,-90.0063231151,29.7179565131
27.000000000000000,-90.0015405715,29.7103251889
9.000000000000000,-89.9918641300,29.7251743572
1.000000000000000,-89.9870828709,29.7175429935
250.000000000000000,-90.0014848806,29.7253814420
176.000000000000000,-89.9967025581,29.7177500921
1.000000000000000,-89.9677258996,29.7472335668
44.000000000000000,-90.0062129614,29.7480685164
3.000000000000000,-90.0206225957,29.7559069510
15.000000000000000,-90.0158369029,29.7482755582
42.000000000000000,-90.0157830623,29.7633313415
27.000000000000000,-90.0109975904,29.7556999240
9.000000000000000,-89.9870252874,29.7325979840
28.000000000000000,-90.0014291751,29.7404371191
2.000000000000000,-89.9966462314,29.7328057326
1.000000000000000,-89.9821860303,29.7400209721
5.000000000000000,-89.9965898900,29.7478607962
15.000000000000000,-89.9918071675,29.7402293846
7.000000000000000,-89.9776404819,29.6721687570
28.000000000000000,-89.9775816880,29.6872248151
21.000000000000000,-89.9728035748,29.6795935287
9.000000000000000,-89.9824188165,29.6798000167
1.000000000000000,-89.9584742827,29.6566997551
4.000000000000000,-89.9728629886,29.6645375114
2.000000000000000,-89.9584129944,29.6717550796
1.000000000000000,-89.9536376266,29.6641238094
18.000000000000000,-89.9680263029,29.6719622562
13.000000000000000,-89.9632498723,29.6643309983
1.000000000000000,-89.9727441454,29.6946489764
131.000000000000000,-89.9871404393,29.7024874282
7.000000000000000,-89.9823606428,29.6948561151
1.000000000000000,-89.9726847005,29.7097038525
2.000000000000000,-89.9679662537,29.6870176635
1.000000000000000,-89.9631892034,29.6793863644
1.000000000000000,-89.9631285187,29.6944411611
4.000000000000000,-89.9583516901,29.6868098356
1.000000000000000,-89.8954959411,29.7682100712
1.000000000000000,-89.8763390455,29.7527303705
1.000000000000000,-89.9338998144,29.7841186388
1.000000000000000,-89.9533278458,29.7393916687
19.000000000000000,-89.7765212202,29.5623785627
7.000000000000000,-89.7908619267,29.5702250617
33.000000000000000,-89.7860254596,29.5776408421
34.000000000000000,-89.7812729209,29.5700096908
7.000000000000000,-89.7574353916,29.5469003208
11.000000000000000,-89.7669341543,29.5621625163
16.000000000000000,-89.7621843542,29.5545314064
3.000000000000000,-89.7620975412,29.5695769395
